city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Brtnice,49.3070,15.6764,Czechia,CZ,Vysočina,,3766,3766
Kamenice nad Lipou,49.3031,15.0752,Czechia,CZ,Vysočina,,3760,3760
Smržovka,50.7383,15.2465,Czechia,CZ,Liberecký Kraj,,3756,3756
Rájec-Jestřebí,49.4110,16.6390,Czechia,CZ,Jihomoravský Kraj,,3749,3749
Zlaté Hory,50.2638,17.3961,Czechia,CZ,Moravskoslezský Kraj,,3748,3748
Nepomuk,49.4863,13.5823,Czechia,CZ,Plzeňský Kraj,,3735,3735
Sázava,49.8717,14.8968,Czechia,CZ,Středočeský Kraj,,3734,3734
Dobřichovice,49.9276,14.2748,Czechia,CZ,Středočeský Kraj,,3722,3722
Nové Město pod Smrkem,50.9250,15.2295,Czechia,CZ,Liberecký Kraj,,3716,3716
Lanžhot,48.7245,16.9669,Czechia,CZ,Jihomoravský Kraj,,3698,3698
Lom u Mostu,50.5934,13.6574,Czechia,CZ,Ústecký Kraj,,3695,3695
Fryšták,49.2852,17.6835,Czechia,CZ,Zlínský Kraj,,3684,3684
Benešov nad Ploučnicí,50.7417,14.3125,Czechia,CZ,Ústecký Kraj,,3682,3682
Toužim,50.0606,12.9851,Czechia,CZ,Karlovarský Kraj,,3669,3669
Jablonné v Podještědí,50.7653,14.7606,Czechia,CZ,Liberecký Kraj,,3667,3667
Lázně Bělohrad,50.4288,15.5828,Czechia,CZ,Královéhradecký Kraj,,3658,3658
Velké Opatovice,49.6124,16.6795,Czechia,CZ,Pardubický Kraj,,3643,3643
Jiříkov,50.9952,14.5692,Czechia,CZ,Ústecký Kraj,,3638,3638
Stod,49.6392,13.1648,Czechia,CZ,Plzeňský Kraj,,3617,3617
Klecany,50.1761,14.4116,Czechia,CZ,Středočeský Kraj,,3608,3608
České Velenice,48.7686,14.9637,Czechia,CZ,Jihočeský Kraj,,3575,3575
Valtice,48.7407,16.7550,Czechia,CZ,Jihomoravský Kraj,,3575,3575
